Gene Symbol	RefSeq ID	Transcript Length	LVST #1	LVST #2	LVST #3	LVST #4	LVS #5	LVST #6	cMVST #1	cMVST #2	cMVST #3	Caudal Control #1 	Caudal Control #2	Caudal Control #3	Caudal Control #4	Medial Control #1	Medial Control #2	Medial Control #3	Medial Control #4
1700018A14Rik	NM_001145259	711	13	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0
1700018B08Rik	NM_029597	1080	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1
1700018B24Rik	NR_003617	3370	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
1700018C11Rik	NM_029324	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700018F24Rik	NM_027069	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	NR_028360	1247	109	34	6	21	6	32	5	1	17	50	30	33	6	9	34	20	19
1700019A02Rik	NM_027070	627	0	0	0	0	0	0	0	0	6	1	0	4	1	2	4	17	7
1700019B03Rik	NM_029598	1613	110	13	0	0	0	37	1	0	5	45	10	6	8	7	14	23	17
1700019D03Rik	NM_144953	834	0	1	2	0	0	12	0	4	0	0	0	0	3	35	36	55	32
1700019G17Rik	NM_001145895	1129	9	0	3	4	0	34	0	7	1	15	7	3	5	21	32	38	24
1700019G17Rik	NM_029331	3073	15	5	6	6	12	42	39	7	2	45	7	8	59	53	92	123	68
1700019L03Rik	NM_025619	1675	3	2	6	54	59	0	2	0	0	0	0	3	2	11	8	20	13
1700019M22Rik	NM_027076	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	NM_026208	923	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
1700019O17Rik	NM_027966	1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	NM_001163483	701	0	1	6	0	1	0	0	0	0	7	0	0	0	2	3	2	0
1700020A23Rik	NM_029375	524	0	0	3	0	1	0	0	0	0	10	0	0	0	2	3	2	0
1700020D05Rik	NM_023781	1017	1	1	0	0	0	0	0	2	42	0	0	1	8	7	5	10	7
1700020I14Rik	NR_015473	1547	898	938	250	212	663	908	471	57	586	1036	786	237	329	549	721	1206	735
1700020I14Rik	NR_027832	1378	715	783	214	183	630	837	385	57	520	869	617	209	264	505	666	1127	674
1700020L24Rik	NM_025492	931	0	0	0	0	0	1	0	0	0	0	1	0	2	2	5	4	0
1700020N01Rik	NR_027968	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	NR_026924	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	NM_026411	898	243	178	126	247	243	715	191	203	477	302	148	158	174	314	254	448	271
1700021F07Rik	NM_028158	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	NM_172615	5237	1035	1421	338	381	930	612	339	480	382	693	483	247	223	438	710	932	571
1700022A21Rik	NR_003953	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	NM_026088	3712	0	12	0	7	0	0	0	8	0	19	17	5	4	9	16	32	22
1700023E05Rik	NM_027970	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1
1700024G13Rik	NM_001034037	398	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1
1700024P04Rik	NM_027064	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	NM_001162980	3136	6	5	0	0	0	0	1	9	4	27	25	2	2	12	13	29	14
1700025C18Rik	NR_033448	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1700025F22Rik	NM_027074	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	NM_197990	9754	1411	2050	704	356	1352	948	594	78	181	2330	1618	767	736	1394	1880	2824	1490
1700026D08Rik	NM_029335	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	14	10
1700026D11Rik	NR_028286	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026L06Rik	NM_027283	671	31	0	0	0	0	0	6	0	0	13	0	0	0	2	7	13	3
1700028B04Rik	NR_033605	552	0	0	1	2	2	4	1	1	1	0	0	2	1	1	2	1	1
1700028J19Rik	NR_029436	1185	0	0	4	6	0	0	0	0	0	0	2	1	2	9	7	12	9
1700028K03Rik	NM_175241	3096	40	88	34	64	409	469	128	352	161	96	154	49	104	258	237	387	214
1700028K03Rik	NM_182745	795	6	14	0	0	0	0	1	2	0	9	2	0	2	4	6	12	8
1700028M03Rik	NR_036591	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700028P14Rik	NM_026188	868	0	0	0	0	0	0	0	0	0	1	0	0	4	2	10	12	7
1700029F12Rik	NM_001080777	869	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1700029F12Rik	NM_025585	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1700029H14Rik	NM_001080781	1408	0	0	0	21	0	0	3	0	0	0	2	0	1	2	3	5	0
1700029H14Rik	NM_025601	1319	0	0	0	21	0	0	3	0	0	0	2	0	0	2	3	5	0
1700029I15Rik	NM_183112	362	33	91	19	2	0	2	23	0	0	43	115	5	3	12	12	38	18
1700029J07Rik	NM_001033148	2740	54	43	5	33	127	3	84	327	1	50	60	49	78	78	100	160	92
1700029M20Rik	NR_015613	2963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700029M20Rik	NR_027909	2834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700029P11Rik	NM_025503	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
1700030C10Rik	NR_015521	1717	4	3	4	0	30	70	4	7	4	6	0	1	2	4	6	17	8
1700030F18Rik	NM_028180	621	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
1700030J22Rik	NM_027103	2971	770	480	44	117	497	634	85	138	20	212	247	38	65	112	161	265	176
1700030K09Rik	NM_028170	2426	56	75	64	30	140	98	10	173	57	59	467	84	7	157	156	254	132
1700031F05Rik	NM_028496	1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	NR_015496	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	NM_030097	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
1700034H15Rik	NR_030669	4361	275	96	79	41	54	17	183	0	38	104	144	27	23	69	73	106	80
1700034J05Rik	NM_001164236	2031	2	0	0	0	0	0	0	0	0	0	5	1	109	3	8	11	10
1700034J05Rik	NM_028509	2034	2	0	0	0	0	0	0	0	0	0	5	1	109	3	8	11	10
1700034O15Rik	NM_029671	741	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700037C18Rik	NM_028484	1097	1	26	2	37	3	18	6	0	4	0	13	26	1	10	12	23	9
1700037H04Rik	NM_026091	1241	1020	1332	376	230	354	169	33	0	57	347	1728	235	124	154	256	344	177
1700039E15Rik	NM_001033176	1732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	NM_028491	1238	0	0	0	34	0	0	0	0	0	0	0	0	0	2	2	1	1
1700041C23Rik	NR_033784	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042B14Rik	NM_001081671	1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	NM_001099295	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	NR_033785	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045I19Rik	NR_003640	1190	0	26	12	0	186	24	22	193	11	27	0	6	9	7	5	12	10
1700047M11Rik	NR_015458	686	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	6	2
1700048O20Rik	NR_033553	1846	106	118	188	108	277	317	41	168	53	130	76	143	169	199	321	399	276
1700049E15Rik	NR_033636	921	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1
1700049G17Rik	NM_028538	5158	125	55	51	36	401	2	23	122	57	63	24	62	28	208	306	471	246
1700049L16Rik	NR_003644	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	NR_033786	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	NR_027956	2413	81	23	110	44	49	31	50	4	191	90	93	99	121	186	184	270	172
1700054K19Rik	NR_027865	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	NM_028516	967	14	0	4	0	0	0	0	0	0	0	0	1	0	7	4	5	4
1700057G04Rik	NM_001033184	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	NM_030141	2455	26	114	2	4	0	125	5	1	20	287	143	22	41	23	30	32	27
1700065D16Rik	NM_028533	2771	7	1	0	2	0	0	0	0	2	45	1	16	40	5	14	19	11
1700066B19Rik	NM_001033168	2504	67	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0
1700066M21Rik	NM_028546	3005	73	151	97	69	212	46	33	200	126	78	99	76	55	250	239	419	271
1700066O22Rik	NR_015541	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	NM_183097	1084	0	0	0	0	30	0	0	0	0	54	0	1	0	0	2	4	3
1700067P10Rik	NM_026625	794	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1700069L16Rik	NR_033216	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700071K01Rik	NM_001033765	1038	0	0	0	0	0	0	5	0	0	1	0	0	22	4	6	15	11
1700073E17Rik	NR_003625	4599	2	1	2	1	2	0	0	0	0	0	1	1	3	0	3	4	0
1700074P13Rik	NM_028550	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	NM_028562	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	NM_028851	1454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084C01Rik	NM_001033185	1440	7	0	0	0	0	0	0	0	1	1	0	12	5	64	108	149	100
1700084E18Rik	NR_028299	432	17	3	14	28	0	0	0	0	6	24	6	6	0	6	6	7	10
1700084J12Rik	NR_033608	731	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	7	2
1700086L19Rik	NR_030733	1045	22	24	1	36	3	43	0	0	0	1	2	10	0	9	18	32	22
1700086L19Rik	NR_030734	1040	22	24	1	36	3	43	0	0	0	1	2	10	0	9	18	32	22
1700086L19Rik	NR_030735	818	22	21	1	36	3	43	0	0	0	1	1	10	0	9	17	28	19
1700086O06Rik	NR_015475	1564	48	7	2	6	0	10	0	0	11	6	56	10	16	25	22	28	22
1700086O06Rik	NR_027903	1270	46	4	2	6	0	10	0	0	11	6	56	10	16	25	20	28	22
1700086O06Rik	NR_027904	1173	31	109	29	30	0	65	34	0	39	17	15	16	6	13	12	15	14
1700088E04Rik	NM_138581	1253	684	2103	214	169	435	247	314	436	416	603	567	163	138	210	358	583	356
1700092M07Rik	NM_001177347	379	9	0	0	0	0	0	0	0	20	2	0	9	14	4	4	8	1
1700093K21Rik	NM_001110133	1320	0	0	0	0	0	0	0	0	0	0	5	0	0	6	4	8	3
1700093K21Rik	NM_026105	1002	0	0	0	0	0	0	0	0	0	0	5	0	0	6	4	7	1
1700094D03Rik	NM_028567	3096	145	35	73	36	95	149	103	3	147	44	48	90	243	186	206	364	218
1700096J18Rik	NR_027883	454	2	0	4	0	0	0	0	0	0	3	0	0	3	3	3	5	6
1700096K18Rik	NR_027388	1448	119	4	93	2	0	361	0	23	0	60	0	17	9	63	65	102	48
1700101E01Rik	NM_001085514	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
1700101E01Rik	NM_001166705	930	3	0	0	0	0	0	0	0	0	0	3	0	0	2	3	5	3
1700102P08Rik	NM_053216	1096	68	369	19	17	17	0	3	1	66	21	24	29	42	106	83	138	81
1700106J16Rik	NM_028859	1218	0	0	1	0	0	0	0	0	0	0	28	0	0	12	9	22	24
1700108F19Rik	NR_015485	868	0	1	21	1	0	0	0	151	0	0	0	0	0	0	1	2	1
1700108J01Rik	NR_015532	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700109G14Rik	NR_033788	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2
1700109H08Rik	NM_029843	715	25	49	1	13	27	98	10	8	147	48	50	13	12	60	55	65	51
1700111N16Rik	NR_033213	1132	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1700112E06Rik	NM_028275	911	0	0	0	0	0	0	0	0	0	2	0	0	0	6	4	7	4
1700113H08Rik	NM_029685	1343	0	0	0	0	0	0	38	1	0	20	0	2	0	2	6	9	4
